Loss_im,psnr
404.2925,32.9417
404.2925,32.9417
380.4144,33.1573
380.4144,33.1573
380.4144,33.1573
394.9362,32.9118
394.9362,32.9118
394.9362,32.9118
348.5384,32.0958
348.5384,32.0958
348.5384,32.0958
366.678,32.8289
366.678,32.8289
366.678,32.8289
377.2344,34.0963
377.2344,34.0963
377.2344,34.0963
328.3435,33.3346
328.3435,33.3346
328.3435,33.3346
407.3479,33.3215
407.3479,33.3215
407.3479,33.3215
352.7614,33.2616
352.7614,33.2616
352.7614,33.2616
379.9714,33.4022
379.9714,33.4022
379.9714,33.4022
324.7499,33.0483
324.7499,33.0483
324.7499,33.0483
406.7384,33.6335
406.7384,33.6335
406.7384,33.6335
329.0512,33.4245
329.0512,33.4245
329.0512,33.4245
355.8379,34.0348
355.8379,34.0348
355.8379,34.0348
339.7319,34.1146
339.7319,34.1146
339.7319,34.1146
355.9253,32.8782
355.9253,32.8782
355.9253,32.8782
426.4303,32.4144
426.4303,32.4144
426.4303,32.4144
346.5121,32.2273
346.5121,32.2273
346.5121,32.2273
421.3351,34.7201
421.3351,34.7201
421.3351,34.7201
368.9782,32.5217
368.9782,32.5217
368.9782,32.5217
379.9248,33.5657
379.9248,33.5657
379.9248,33.5657
321.6004,32.7265
321.6004,32.7265
321.6004,32.7265
388.2643,33.7195
388.2643,33.7195
388.2643,33.7195
341.745,33.2093
341.745,33.2093
341.745,33.2093
400.9945,32.3768
400.9945,32.3768
400.9945,32.3768
369.6507,33.2079
369.6507,33.2079
369.6507,33.2079
347.4178,32.7559
347.4178,32.7559
347.4178,32.7559
386.9129,33.114
386.9129,33.114
386.9129,33.114
396.91,33.4703
396.91,33.4703
396.91,33.4703
349.1176,31.2731
349.1176,31.2731
349.1176,31.2731
446.4539,33.5555
446.4539,33.5555
446.4539,33.5555
354.0043,34.0581
354.0043,34.0581
354.0043,34.0581
458.3415,33.8967
458.3415,33.8967
458.3415,33.8967
355.4549,32.8121
355.4549,32.8121
355.4549,32.8121
410.364,32.6718
410.364,32.6718
410.364,32.6718
394.222,33.6748
394.222,33.6748
394.222,33.6748
327.3458,32.7542
327.3458,32.7542
327.3458,32.7542
375.3169,34.5008
375.3169,34.5008
375.3169,34.5008
347.6927,33.6878
347.6927,33.6878
347.6927,33.6878
387.1542,34.4568
387.1542,34.4568
387.1542,34.4568
389.1799,34.062
389.1799,34.062
389.1799,34.062
348.2354,33.0665
348.2354,33.0665
348.2354,33.0665
366.1344,34.3851
366.1344,34.3851
366.1344,34.3851
304.3106,32.447
304.3106,32.447
304.3106,32.447
370.8118,34.5756
370.8118,34.5756
370.8118,34.5756
353.8067,34.3985
353.8067,34.3985
353.8067,34.3985
362.2959,33.1786
362.2959,33.1786
362.2959,33.1786
357.6551,34.5847
357.6551,34.5847
357.6551,34.5847
323.0352,33.3662
323.0352,33.3662
323.0352,33.3662
357.8854,32.6641
357.8854,32.6641
357.8854,32.6641
313.9077,33.5446
313.9077,33.5446
313.9077,33.5446
348.6671,33.9741
348.6671,33.9741
348.6671,33.9741
310.4678,33.3412
310.4678,33.3412
310.4678,33.3412
365.9065,33.4401
365.9065,33.4401
365.9065,33.4401
340.3861,32.8749
340.3861,32.8749
340.3861,32.8749
344.148,34.1332
344.148,34.1332
344.148,34.1332
370.2263,34.1931
370.2263,34.1931
370.2263,34.1931
317.6668,35.0103
317.6668,35.0103
317.6668,35.0103
291.8035,34.3681
291.8035,34.3681
291.8035,34.3681
319.2769,35.5718
319.2769,35.5718
319.2769,35.5718
277.2059,33.5158
277.2059,33.5158
277.2059,33.5158
339.9399,33.8091
339.9399,33.8091
339.9399,33.8091
308.6199,35.7202
308.6199,35.7202
308.6199,35.7202
332.3931,33.8703
332.3931,33.8703
332.3931,33.8703
336.9696,33.6175
336.9696,33.6175
336.9696,33.6175
315.0119,33.9696
315.0119,33.9696
315.0119,33.9696
382.0647,34.4867
382.0647,34.4867
382.0647,34.4867
333.0039,33.1505
333.0039,33.1505
333.0039,33.1505
358.6623,33.9389
358.6623,33.9389
358.6623,33.9389
283.0813,34.3806
283.0813,34.3806
283.0813,34.3806
316.9231,33.555
316.9231,33.555
316.9231,33.555
325.9598,33.967
325.9598,33.967
325.9598,33.967
345.3167,34.1127
345.3167,34.1127
345.3167,34.1127
350.8514,34.2843
350.8514,34.2843
350.8514,34.2843
287.4859,34.3211
287.4859,34.3211
287.4859,34.3211
316.8967,33.4054
316.8967,33.4054
316.8967,33.4054
295.8457,34.1003
295.8457,34.1003
295.8457,34.1003
307.0815,34.5404
307.0815,34.5404
307.0815,34.5404
299.9505,34.3925
299.9505,34.3925
299.9505,34.3925
330.276,33.1627
330.276,33.1627
330.276,33.1627
312.0581,34.1499
312.0581,34.1499
312.0581,34.1499
328.9169,35.1112
328.9169,35.1112
328.9169,35.1112
275.0859,35.5606
275.0859,35.5606
275.0859,35.5606
323.034,34.0648
323.034,34.0648
323.034,34.0648
297.2615,33.8081
297.2615,33.8081
297.2615,33.8081
