Loss_im,psnr
272.3613,35.4035
272.3613,35.4035
272.3613,35.4035
313.4197,34.9505
313.4197,34.9505
313.4197,34.9505
299.1566,34.3594
299.1566,34.3594
299.1566,34.3594
284.1385,34.7631
284.1385,34.7631
284.1385,34.7631
259.2931,36.3366
259.2931,36.3366
259.2931,36.3366
262.6618,35.1532
262.6618,35.1532
262.6618,35.1532
255.2971,34.9253
255.2971,34.9253
255.2971,34.9253
246.6731,35.1967
246.6731,35.1967
246.6731,35.1967
256.522,35.8612
256.522,35.8612
256.522,35.8612
276.2281,35.2503
276.2281,35.2503
276.2281,35.2503
255.4223,35.0783
255.4223,35.0783
255.4223,35.0783
251.8908,35.4048
251.8908,35.4048
251.8908,35.4048
289.0099,34.5004
289.0099,34.5004
289.0099,34.5004
261.1949,34.0958
261.1949,34.0958
261.1949,34.0958
275.7198,34.2823
275.7198,34.2823
275.7198,34.2823
299.9453,34.4185
299.9453,34.4185
299.9453,34.4185
316.8079,33.0891
316.8079,33.0891
316.8079,33.0891
312.4279,34.8503
312.4279,34.8503
312.4279,34.8503
271.705,35.2855
271.705,35.2855
271.705,35.2855
243.9959,36.1256
243.9959,36.1256
243.9959,36.1256
280.1949,35.8142
280.1949,35.8142
280.1949,35.8142
248.7507,34.8731
248.7507,34.8731
248.7507,34.8731
293.0702,35.6888
293.0702,35.6888
293.0702,35.6888
345.4126,35.8002
345.4126,35.8002
345.4126,35.8002
272.5927,35.7759
272.5927,35.7759
272.5927,35.7759
311.1446,35.6253
311.1446,35.6253
311.1446,35.6253
250.1559,34.5626
250.1559,34.5626
250.1559,34.5626
310.588,35.1506
310.588,35.1506
310.588,35.1506
278.7166,35.0471
278.7166,35.0471
278.7166,35.0471
274.5558,35.3832
274.5558,35.3832
274.5558,35.3832
290.1163,35.4967
290.1163,35.4967
290.1163,35.4967
299.4805,35.9052
299.4805,35.9052
299.4805,35.9052
242.5318,34.58
242.5318,34.58
242.5318,34.58
298.3007,36.3854
298.3007,36.3854
298.3007,36.3854
298.851,34.981
298.851,34.981
298.851,34.981
293.6083,35.6167
293.6083,35.6167
293.6083,35.6167
299.0617,35.8013
299.0617,35.8013
299.0617,35.8013
306.3883,36.0529
306.3883,36.0529
306.3883,36.0529
293.2773,34.7555
293.2773,34.7555
293.2773,34.7555
270.5089,37.0152
270.5089,37.0152
270.5089,37.0152
283.4938,36.094
283.4938,36.094
283.4938,36.094
279.1739,35.6316
279.1739,35.6316
279.1739,35.6316
278.5759,35.7538
278.5759,35.7538
278.5759,35.7538
269.7972,34.6382
269.7972,34.6382
269.7972,34.6382
257.6311,36.1555
257.6311,36.1555
257.6311,36.1555
254.8808,36.4271
254.8808,36.4271
254.8808,36.4271
268.3757,35.6511
268.3757,35.6511
268.3757,35.6511
280.6593,34.9342
280.6593,34.9342
280.6593,34.9342
269.3749,36.0284
269.3749,36.0284
269.3749,36.0284
288.7435,36.0713
288.7435,36.0713
288.7435,36.0713
264.972,36.8462
264.972,36.8462
264.972,36.8462
283.9565,36.7261
283.9565,36.7261
283.9565,36.7261
257.4745,36.6669
257.4745,36.6669
257.4745,36.6669
275.821,35.4642
275.821,35.4642
275.821,35.4642
262.1726,35.192
262.1726,35.192
262.1726,35.192
251.7391,36.8506
251.7391,36.8506
251.7391,36.8506
248.3028,35.7651
248.3028,35.7651
248.3028,35.7651
262.4276,35.7263
262.4276,35.7263
262.4276,35.7263
251.5619,35.2282
251.5619,35.2282
251.5619,35.2282
283.2808,36.8507
283.2808,36.8507
283.2808,36.8507
269.2422,35.0801
269.2422,35.0801
269.2422,35.0801
278.3737,35.7687
278.3737,35.7687
278.3737,35.7687
241.788,36.1435
241.788,36.1435
241.788,36.1435
279.3865,36.859
279.3865,36.859
279.3865,36.859
292.5731,36.7366
292.5731,36.7366
292.5731,36.7366
243.8643,36.7059
243.8643,36.7059
243.8643,36.7059
228.8558,35.7145
228.8558,35.7145
228.8558,35.7145
257.9316,36.1066
257.9316,36.1066
257.9316,36.1066
250.7656,35.3223
250.7656,35.3223
250.7656,35.3223
268.8352,35.3017
268.8352,35.3017
268.8352,35.3017
272.7938,36.6682
272.7938,36.6682
272.7938,36.6682
254.1762,34.8843
254.1762,34.8843
254.1762,34.8843
283.1133,36.1188
283.1133,36.1188
283.1133,36.1188
248.1134,36.8206
248.1134,36.8206
248.1134,36.8206
274.7332,36.8621
274.7332,36.8621
274.7332,36.8621
265.1682,35.7547
265.1682,35.7547
265.1682,35.7547
285.5368,35.9169
285.5368,35.9169
285.5368,35.9169
296.3846,35.8614
296.3846,35.8614
296.3846,35.8614
277.5086,35.5559
277.5086,35.5559
277.5086,35.5559
235.5748,34.5038
235.5748,34.5038
235.5748,34.5038
296.0389,35.9057
296.0389,35.9057
296.0389,35.9057
265.0582,36.157
265.0582,36.157
